Type,X,Y,BB Width,BB Height,filename,Image Width,Image Height
text box,118,231,569,31,video7_5_2_shot35.jpg,1280,720
text box,119,283,540,111,video7_5_2_shot35.jpg,1280,720
text box,119,418,574,117,video7_5_2_shot35.jpg,1280,720
footer,119,678,66,18,video7_5_2_shot35.jpg,1280,720
picture,753,170,214,430,video7_5_2_shot35.jpg,1280,720
header,151,9,288,54,video7_5_2_shot36.jpg,1280,720
header,677,47,216,16,video7_5_2_shot36.jpg,1280,720
title,122,111,587,41,video7_5_2_shot36.jpg,1280,720
instructor,962,385,318,335,video7_5_2_shot36.jpg,1280,720
footer,122,678,61,18,video7_5_2_shot36.jpg,1280,720
text box,112,178,251,37,video7_5_2_shot36.jpg,1280,720
text box,114,230,577,35,video7_5_2_shot36.jpg,1280,720
text box,118,283,543,116,video7_5_2_shot36.jpg,1280,720
text box,115,412,586,122,video7_5_2_shot36.jpg,1280,720
text box,114,547,586,78,video7_5_2_shot36.jpg,1280,720
picture,753,170,214,430,video7_5_2_shot36.jpg,1280,720
header,149,6,290,58,video7_5_2_shot4.jpg,1280,720
header,675,46,219,18,video7_5_2_shot4.jpg,1280,720
title,118,137,265,38,video7_5_2_shot4.jpg,1280,720
text box,236,191,698,125,video7_5_2_shot4.jpg,1280,720
text box,236,322,713,191,video7_5_2_shot4.jpg,1280,720
instructor,966,385,314,334,video7_5_2_shot4.jpg,1280,720
footer,119,678,67,19,video7_5_2_shot4.jpg,1280,720
header,151,9,288,53,video7_5_2_shot6.jpg,1280,720
title,123,113,400,35,video7_5_2_shot6.jpg,1280,720
text box,123,193,834,116,video7_5_2_shot6.jpg,1280,720
instructor,968,394,312,327,video7_5_2_shot6.jpg,1280,720
footer,120,679,66,20,video7_5_2_shot6.jpg,1280,720
header,674,47,220,15,video7_5_2_shot6.jpg,1280,720
header,152,9,288,54,video7_5_2_shot7.jpg,1280,720
header,673,46,222,17,video7_5_2_shot7.jpg,1280,720
title,122,111,405,33,video7_5_2_shot7.jpg,1280,720
text box,120,192,834,117,video7_5_2_shot7.jpg,1280,720
text box,122,329,757,69,video7_5_2_shot7.jpg,1280,720
text box,122,420,729,29,video7_5_2_shot7.jpg,1280,720
text box,122,471,853,129,video7_5_2_shot7.jpg,1280,720
instructor,965,382,314,338,video7_5_2_shot7.jpg,1280,720
footer,119,678,66,19,video7_5_2_shot7.jpg,1280,720
instructor,978,386,302,333,video7_5_3_shot11.jpg,1280,720
diagram,98,301,915,349,video7_5_3_shot11.jpg,1280,720
footer,120,676,65,23,video7_5_3_shot11.jpg,1280,720
handwriting,219,658,126,46,video7_5_3_shot11.jpg,1280,720
handwriting,559,671,195,26,video7_5_3_shot11.jpg,1280,720
handwriting,868,671,109,47,video7_5_3_shot11.jpg,1280,720
text box,118,308,170,27,video7_5_3_shot11.jpg,1280,720
text box,119,270,252,27,video7_5_3_shot11.jpg,1280,720
text box,119,230,267,29,video7_5_3_shot11.jpg,1280,720
text box,119,194,151,24,video7_5_3_shot11.jpg,1280,720
handwriting,73,211,23,87,video7_5_3_shot11.jpg,1280,720
handwriting,884,200,119,49,video7_5_3_shot11.jpg,1280,720
title,119,110,490,43,video7_5_3_shot11.jpg,1280,720
header,150,9,290,52,video7_5_3_shot11.jpg,1280,720
header,675,48,220,15,video7_5_3_shot11.jpg,1280,720
handwriting,357,293,62,38,video7_5_3_shot11.jpg,1280,720
handwriting,512,293,85,53,video7_5_3_shot11.jpg,1280,720
handwriting,614,394,79,37,video7_5_3_shot11.jpg,1280,720
handwriting,740,466,69,22,video7_5_3_shot11.jpg,1280,720
handwriting,720,554,64,21,video7_5_3_shot11.jpg,1280,720
handwriting,350,423,58,26,video7_5_3_shot11.jpg,1280,720
handwriting,352,525,52,31,video7_5_3_shot11.jpg,1280,720
header,150,9,290,52,video7_5_3_shot12.jpg,1280,720
header,675,48,220,15,video7_5_3_shot12.jpg,1280,720
title,123,113,690,40,video7_5_3_shot12.jpg,1280,720
text box,119,202,511,52,video7_5_3_shot12.jpg,1280,720
text box,120,272,586,89,video7_5_3_shot12.jpg,1280,720
text box,123,375,572,60,video7_5_3_shot12.jpg,1280,720
picture,306,474,173,175,video7_5_3_shot12.jpg,1280,720
picture,542,475,167,173,video7_5_3_shot12.jpg,1280,720
picture,731,474,172,170,video7_5_3_shot12.jpg,1280,720
footer,120,679,63,17,video7_5_3_shot12.jpg,1280,720
instructor,983,413,297,305,video7_5_3_shot12.jpg,1280,720
picture,98,476,172,171,video7_5_3_shot12.jpg,1280,720
chart,705,197,304,252,video7_5_3_shot12.jpg,1280,720
header,150,9,290,52,video7_5_3_shot18.jpg,1280,720
header,675,48,220,15,video7_5_3_shot18.jpg,1280,720
title,120,109,693,44,video7_5_3_shot18.jpg,1280,720
text box,119,202,511,52,video7_5_3_shot18.jpg,1280,720
text box,120,272,586,89,video7_5_3_shot18.jpg,1280,720
text box,123,375,572,60,video7_5_3_shot18.jpg,1280,720
picture,97,475,173,175,video7_5_3_shot18.jpg,1280,720
picture,306,474,173,175,video7_5_3_shot18.jpg,1280,720
picture,542,475,167,173,video7_5_3_shot18.jpg,1280,720
picture,731,474,172,170,video7_5_3_shot18.jpg,1280,720
footer,120,679,63,17,video7_5_3_shot18.jpg,1280,720
chart,705,197,304,252,video7_5_3_shot18.jpg,1280,720
instructor,989,391,290,329,video7_5_3_shot18.jpg,1280,720
header,150,9,289,53,video7_5_3_shot2.jpg,1280,720
header,675,46,220,17,video7_5_3_shot2.jpg,1280,720
title,134,126,407,43,video7_5_3_shot2.jpg,1280,720
text box,122,203,741,67,video7_5_3_shot2.jpg,1280,720
text box,119,284,694,33,video7_5_3_shot2.jpg,1280,720
instructor,957,378,323,342,video7_5_3_shot2.jpg,1280,720
footer,119,678,65,18,video7_5_3_shot2.jpg,1280,720
header,151,9,287,52,video7_5_3_shot20.jpg,1280,720
header,675,47,219,14,video7_5_3_shot20.jpg,1280,720
footer,119,680,65,16,video7_5_3_shot20.jpg,1280,720
title,122,112,475,33,video7_5_3_shot20.jpg,1280,720
picture,141,87,830,568,video7_5_3_shot20.jpg,1280,720
instructor,962,388,317,331,video7_5_3_shot20.jpg,1280,720
handwriting,277,154,244,62,video7_5_3_shot20.jpg,1280,720
handwriting,331,474,240,184,video7_5_3_shot20.jpg,1280,720
header,151,9,287,52,video7_5_3_shot21.jpg,1280,720
header,675,47,219,14,video7_5_3_shot21.jpg,1280,720
footer,119,680,65,16,video7_5_3_shot21.jpg,1280,720
title,122,112,475,33,video7_5_3_shot21.jpg,1280,720
picture,141,87,830,568,video7_5_3_shot21.jpg,1280,720
instructor,971,388,309,331,video7_5_3_shot21.jpg,1280,720
handwriting,277,154,244,62,video7_5_3_shot21.jpg,1280,720
handwriting,331,474,240,184,video7_5_3_shot21.jpg,1280,720
header,151,9,287,52,video7_5_3_shot22.jpg,1280,720
header,675,47,219,14,video7_5_3_shot22.jpg,1280,720
footer,119,680,65,16,video7_5_3_shot22.jpg,1280,720
title,122,112,475,33,video7_5_3_shot22.jpg,1280,720
picture,141,87,830,568,video7_5_3_shot22.jpg,1280,720
instructor,974,388,305,331,video7_5_3_shot22.jpg,1280,720
handwriting,277,154,244,62,video7_5_3_shot22.jpg,1280,720
handwriting,331,474,240,184,video7_5_3_shot22.jpg,1280,720
handwriting,692,161,117,99,video7_5_3_shot22.jpg,1280,720
handwriting,627,421,112,105,video7_5_3_shot22.jpg,1280,720
header,151,9,287,52,video7_5_3_shot25.jpg,1280,720
header,675,47,219,14,video7_5_3_shot25.jpg,1280,720
footer,119,680,65,16,video7_5_3_shot25.jpg,1280,720
title,122,112,475,33,video7_5_3_shot25.jpg,1280,720
instructor,998,389,280,330,video7_5_3_shot25.jpg,1280,720
picture,126,445,827,78,video7_5_3_shot25.jpg,1280,720
text box,80,607,500,57,video7_5_3_shot25.jpg,1280,720
table,63,244,954,142,video7_5_3_shot25.jpg,1280,720
header,151,9,288,53,video7_5_3_shot3.jpg,1280,720
header,677,48,217,14,video7_5_3_shot3.jpg,1280,720
title,133,127,324,42,video7_5_3_shot3.jpg,1280,720
text box,122,203,810,124,video7_5_3_shot3.jpg,1280,720
text box,122,354,832,103,video7_5_3_shot3.jpg,1280,720
text box,120,486,832,64,video7_5_3_shot3.jpg,1280,720
text box,84,607,497,58,video7_5_3_shot3.jpg,1280,720
footer,117,675,69,22,video7_5_3_shot3.jpg,1280,720
instructor,953,381,327,338,video7_5_3_shot3.jpg,1280,720
header,152,8,288,54,video7_5_3_shot4.jpg,1280,720
header,675,46,220,16,video7_5_3_shot4.jpg,1280,720
title,122,111,403,44,video7_5_3_shot4.jpg,1280,720
text box,119,217,773,189,video7_5_3_shot4.jpg,1280,720
text box,122,432,498,150,video7_5_3_shot4.jpg,1280,720
footer,118,678,67,21,video7_5_3_shot4.jpg,1280,720
instructor,957,385,323,333,video7_5_3_shot4.jpg,1280,720
picture,625,401,337,251,video7_5_3_shot4.jpg,1280,720
header,151,9,289,51,video7_5_3_shot5.jpg,1280,720
header,675,46,220,16,video7_5_3_shot5.jpg,1280,720
title,123,110,692,41,video7_5_3_shot5.jpg,1280,720
text box,119,219,794,149,video7_5_3_shot5.jpg,1280,720
text box,117,390,682,207,video7_5_3_shot5.jpg,1280,720
footer,118,678,67,19,video7_5_3_shot5.jpg,1280,720
instructor,972,383,305,335,video7_5_3_shot5.jpg,1280,720
header,150,9,290,52,video7_5_3_shot7.jpg,1280,720
header,675,48,220,15,video7_5_3_shot7.jpg,1280,720
title,119,110,490,43,video7_5_3_shot7.jpg,1280,720
text box,119,194,151,24,video7_5_3_shot7.jpg,1280,720
text box,119,230,267,29,video7_5_3_shot7.jpg,1280,720
text box,119,270,252,27,video7_5_3_shot7.jpg,1280,720
text box,118,308,170,27,video7_5_3_shot7.jpg,1280,720
handwriting,219,658,126,46,video7_5_3_shot7.jpg,1280,720
handwriting,559,671,195,26,video7_5_3_shot7.jpg,1280,720
diagram,98,301,915,349,video7_5_3_shot7.jpg,1280,720
instructor,995,385,281,333,video7_5_3_shot7.jpg,1280,720
footer,120,676,65,23,video7_5_3_shot7.jpg,1280,720
handwriting,73,209,24,90,video7_5_3_shot7.jpg,1280,720
header,151,10,287,52,video7_6_1_shot10.jpg,1280,720
header,675,47,218,16,video7_6_1_shot10.jpg,1280,720
title,122,111,640,35,video7_6_1_shot10.jpg,1280,720
footer,119,678,65,19,video7_6_1_shot10.jpg,1280,720
text box,68,456,187,193,video7_6_1_shot10.jpg,1280,720
chart,583,155,240,260,video7_6_1_shot10.jpg,1280,720
instructor,1025,383,255,336,video7_6_1_shot10.jpg,1280,720
chart,631,459,246,260,video7_6_1_shot10.jpg,1280,720
chart,281,159,262,260,video7_6_1_shot10.jpg,1280,720
chart,273,449,246,260,video7_6_1_shot10.jpg,1280,720
header,151,10,287,52,video7_6_1_shot13.jpg,1280,720
header,675,47,218,16,video7_6_1_shot13.jpg,1280,720
title,122,111,640,35,video7_6_1_shot13.jpg,1280,720
footer,119,678,65,19,video7_6_1_shot13.jpg,1280,720
instructor,989,385,291,335,video7_6_1_shot13.jpg,1280,720
picture,145,420,232,222,video7_6_1_shot13.jpg,1280,720
picture,637,422,232,222,video7_6_1_shot13.jpg,1280,720
picture,149,188,232,222,video7_6_1_shot13.jpg,1280,720
picture,630,191,232,222,video7_6_1_shot13.jpg,1280,720
text box,880,503,135,54,video7_6_1_shot13.jpg,1280,720
text box,389,266,179,56,video7_6_1_shot13.jpg,1280,720
text box,388,502,179,56,video7_6_1_shot13.jpg,1280,720
text box,874,268,145,56,video7_6_1_shot13.jpg,1280,720
header,151,10,287,52,video7_6_1_shot14.jpg,1280,720
header,675,47,218,16,video7_6_1_shot14.jpg,1280,720
footer,119,678,65,19,video7_6_1_shot14.jpg,1280,720
title,122,111,218,34,video7_6_1_shot14.jpg,1280,720
text box,121,201,836,61,video7_6_1_shot14.jpg,1280,720
text box,122,286,697,25,video7_6_1_shot14.jpg,1280,720
instructor,993,383,287,337,video7_6_1_shot14.jpg,1280,720
header,151,10,287,52,video7_6_1_shot15.jpg,1280,720
header,675,47,218,16,video7_6_1_shot15.jpg,1280,720
footer,119,678,65,19,video7_6_1_shot15.jpg,1280,720
title,122,111,218,34,video7_6_1_shot15.jpg,1280,720
text box,121,201,740,24,video7_6_1_shot15.jpg,1280,720
instructor,1013,383,267,337,video7_6_1_shot15.jpg,1280,720
title,120,111,655,43,video7_6_1_shot19.jpg,1280,720
header,151,10,287,52,video7_6_1_shot19.jpg,1280,720
footer,120,679,64,17,video7_6_1_shot19.jpg,1280,720
header,675,47,218,16,video7_6_1_shot19.jpg,1280,720
text box,120,193,840,59,video7_6_1_shot19.jpg,1280,720
text box,121,276,219,23,video7_6_1_shot19.jpg,1280,720
text box,120,321,792,64,video7_6_1_shot19.jpg,1280,720
text box,122,404,803,65,video7_6_1_shot19.jpg,1280,720
text box,122,486,283,29,video7_6_1_shot19.jpg,1280,720
text box,120,533,285,27,video7_6_1_shot19.jpg,1280,720
diagram,262,471,755,181,video7_6_1_shot19.jpg,1280,720
instructor,1053,386,227,334,video7_6_1_shot19.jpg,1280,720
title,120,111,343,43,video7_6_1_shot20.jpg,1280,720
header,151,10,287,52,video7_6_1_shot20.jpg,1280,720
footer,120,679,64,17,video7_6_1_shot20.jpg,1280,720
header,675,47,218,16,video7_6_1_shot20.jpg,1280,720
text box,120,196,418,29,video7_6_1_shot20.jpg,1280,720
text box,122,246,514,24,video7_6_1_shot20.jpg,1280,720
text box,121,295,399,326,video7_6_1_shot20.jpg,1280,720
text box,681,538,289,112,video7_6_1_shot20.jpg,1280,720
instructor,1008,381,272,339,video7_6_1_shot20.jpg,1280,720
header,154,13,285,52,video7_6_1_shot3.jpg,1280,720
header,674,51,216,14,video7_6_1_shot3.jpg,1280,720
footer,124,676,63,16,video7_6_1_shot3.jpg,1280,720
title,126,114,216,35,video7_6_1_shot3.jpg,1280,720
text box,124,203,564,26,video7_6_1_shot3.jpg,1280,720
instructor,1010,382,270,338,video7_6_1_shot3.jpg,1280,720
header,154,13,285,52,video7_6_1_shot5.jpg,1280,720
header,674,51,216,14,video7_6_1_shot5.jpg,1280,720
footer,124,676,63,16,video7_6_1_shot5.jpg,1280,720
title,126,114,216,35,video7_6_1_shot5.jpg,1280,720
text box,124,203,564,26,video7_6_1_shot5.jpg,1280,720
text box,124,250,827,101,video7_6_1_shot5.jpg,1280,720
instructor,1007,383,273,337,video7_6_1_shot5.jpg,1280,720
text box,126,372,790,61,video7_6_1_shot5.jpg,1280,720
text box,127,457,802,138,video7_6_1_shot5.jpg,1280,720
header,154,13,285,52,video7_6_1_shot7.jpg,1280,720
header,674,51,216,14,video7_6_1_shot7.jpg,1280,720
footer,124,676,63,16,video7_6_1_shot7.jpg,1280,720
title,97,105,280,83,video7_6_1_shot7.jpg,1280,720
text box,81,640,137,14,video7_6_1_shot7.jpg,1280,720
diagram,99,109,915,299,video7_6_1_shot7.jpg,1280,720
instructor,1008,379,272,341,video7_6_1_shot7.jpg,1280,720
header,151,10,287,52,video7_6_2_shot1.jpg,1280,720
footer,120,679,64,17,video7_6_2_shot1.jpg,1280,720
header,675,47,218,16,video7_6_2_shot1.jpg,1280,720
instructor,993,377,287,343,video7_6_2_shot1.jpg,1280,720
title,344,275,387,50,video7_6_2_shot1.jpg,1280,720
text box,282,439,520,144,video7_6_2_shot1.jpg,1280,720
header,675,47,218,16,video7_6_2_shot11.jpg,1280,720
title,122,111,486,41,video7_6_2_shot11.jpg,1280,720
footer,119,678,65,19,video7_6_2_shot11.jpg,1280,720
header,151,10,287,51,video7_6_2_shot11.jpg,1280,720
handwriting,702,213,288,109,video7_6_2_shot11.jpg,1280,720
text box,117,179,795,65,video7_6_2_shot11.jpg,1280,720
handwriting,841,347,164,165,video7_6_2_shot11.jpg,1280,720
instructor,1016,381,264,339,video7_6_2_shot11.jpg,1280,720
handwriting,551,639,158,50,video7_6_2_shot11.jpg,1280,720
chart,272,279,537,362,video7_6_2_shot11.jpg,1280,720
header,675,47,218,16,video7_6_2_shot12.jpg,1280,720
title,122,111,416,41,video7_6_2_shot12.jpg,1280,720
footer,119,678,65,19,video7_6_2_shot12.jpg,1280,720
header,151,10,287,51,video7_6_2_shot12.jpg,1280,720
text box,120,200,561,28,video7_6_2_shot12.jpg,1280,720
instructor,1000,393,280,326,video7_6_2_shot12.jpg,1280,720
text box,120,240,194,27,video7_6_2_shot12.jpg,1280,720
text box,119,278,219,28,video7_6_2_shot12.jpg,1280,720
instructor,1009,384,270,333,video7_6_2_shot14.jpg,1280,720
header,675,47,218,16,video7_6_2_shot14.jpg,1280,720
title,122,111,750,42,video7_6_2_shot14.jpg,1280,720
footer,119,678,65,19,video7_6_2_shot14.jpg,1280,720
header,151,10,287,51,video7_6_2_shot14.jpg,1280,720
text box,133,183,449,28,video7_6_2_shot14.jpg,1280,720
text box,136,221,191,24,video7_6_2_shot14.jpg,1280,720
text box,136,257,224,24,video7_6_2_shot14.jpg,1280,720
text box,136,292,287,23,video7_6_2_shot14.jpg,1280,720
text box,137,326,436,24,video7_6_2_shot14.jpg,1280,720
picture,78,195,867,427,video7_6_2_shot14.jpg,1280,720
text box,78,642,137,17,video7_6_2_shot14.jpg,1280,720
instructor,1018,392,261,325,video7_6_2_shot15.jpg,1280,720
header,675,47,218,16,video7_6_2_shot15.jpg,1280,720
footer,119,678,65,19,video7_6_2_shot15.jpg,1280,720
header,151,10,287,51,video7_6_2_shot15.jpg,1280,720
picture,637,177,363,478,video7_6_2_shot15.jpg,1280,720
title,116,80,674,95,video7_6_2_shot15.jpg,1280,720
header,151,10,287,52,video7_6_2_shot2.jpg,1280,720
footer,120,679,64,17,video7_6_2_shot2.jpg,1280,720
header,675,47,218,16,video7_6_2_shot2.jpg,1280,720
instructor,997,379,283,341,video7_6_2_shot2.jpg,1280,720
title,132,126,412,43,video7_6_2_shot2.jpg,1280,720
text box,121,203,517,28,video7_6_2_shot2.jpg,1280,720
text box,120,247,781,67,video7_6_2_shot2.jpg,1280,720
text box,119,333,845,143,video7_6_2_shot2.jpg,1280,720
text box,120,491,802,109,video7_6_2_shot2.jpg,1280,720
header,675,47,218,16,video7_6_2_shot21.jpg,1280,720
footer,119,678,65,19,video7_6_2_shot21.jpg,1280,720
header,151,10,287,51,video7_6_2_shot21.jpg,1280,720
picture,637,177,363,478,video7_6_2_shot21.jpg,1280,720
title,117,82,671,93,video7_6_2_shot21.jpg,1280,720
text box,127,220,430,26,video7_6_2_shot21.jpg,1280,720
text box,127,257,679,27,video7_6_2_shot21.jpg,1280,720
text box,126,298,363,22,video7_6_2_shot21.jpg,1280,720
text box,126,334,682,60,video7_6_2_shot21.jpg,1280,720
text box,128,407,530,28,video7_6_2_shot21.jpg,1280,720
text box,127,445,476,28,video7_6_2_shot21.jpg,1280,720
instructor,1070,396,209,321,video7_6_2_shot21.jpg,1280,720
handwriting,418,128,118,87,video7_6_2_shot21.jpg,1280,720
header,149,8,289,54,video7_6_2_shot24.jpg,1280,720
title,116,81,674,90,video7_6_2_shot24.jpg,1280,720
header,675,48,217,14,video7_6_2_shot24.jpg,1280,720
footer,118,678,65,20,video7_6_2_shot24.jpg,1280,720
instructor,1033,391,246,328,video7_6_2_shot24.jpg,1280,720
table,97,191,870,436,video7_6_2_shot24.jpg,1280,720
title,116,81,674,95,video7_6_2_shot29.jpg,1280,720
header,675,48,219,14,video7_6_2_shot29.jpg,1280,720
footer,118,678,67,20,video7_6_2_shot29.jpg,1280,720
instructor,1002,385,277,333,video7_6_2_shot29.jpg,1280,720
header,149,8,289,54,video7_6_2_shot29.jpg,1280,720
text box,187,278,372,253,video7_6_2_shot29.jpg,1280,720
table,98,192,870,434,video7_6_2_shot29.jpg,1280,720
title,92,102,282,85,video7_6_2_shot3.jpg,1280,720
text box,77,643,137,14,video7_6_2_shot3.jpg,1280,720
diagram,73,106,945,485,video7_6_2_shot3.jpg,1280,720
header,151,10,287,52,video7_6_2_shot3.jpg,1280,720
footer,120,679,64,17,video7_6_2_shot3.jpg,1280,720
header,675,47,218,16,video7_6_2_shot3.jpg,1280,720
instructor,993,385,287,335,video7_6_2_shot3.jpg,1280,720
header,149,8,289,54,video7_6_2_shot36.jpg,1280,720
title,116,81,674,95,video7_6_2_shot36.jpg,1280,720
header,675,48,217,14,video7_6_2_shot36.jpg,1280,720
footer,118,678,70,20,video7_6_2_shot36.jpg,1280,720
instructor,1008,382,271,336,video7_6_2_shot36.jpg,1280,720
figure,120,193,841,96,video7_6_2_shot36.jpg,1280,720
text box,113,327,860,28,video7_6_2_shot36.jpg,1280,720
header,149,8,289,54,video7_6_2_shot38.jpg,1280,720
title,116,81,674,95,video7_6_2_shot38.jpg,1280,720
header,675,48,217,14,video7_6_2_shot38.jpg,1280,720
footer,118,678,66,20,video7_6_2_shot38.jpg,1280,720
instructor,1003,391,276,328,video7_6_2_shot38.jpg,1280,720
figure,120,193,841,96,video7_6_2_shot38.jpg,1280,720
text box,119,327,854,28,video7_6_2_shot38.jpg,1280,720
figure,117,434,730,43,video7_6_2_shot38.jpg,1280,720
text box,116,374,892,55,video7_6_2_shot38.jpg,1280,720
header,149,8,289,54,video7_6_2_shot40.jpg,1280,720
title,116,81,675,99,video7_6_2_shot40.jpg,1280,720
header,675,48,217,14,video7_6_2_shot40.jpg,1280,720
footer,118,678,66,20,video7_6_2_shot40.jpg,1280,720
instructor,998,383,281,336,video7_6_2_shot40.jpg,1280,720
handwriting,225,557,777,143,video7_6_2_shot40.jpg,1280,720
figure,120,193,841,96,video7_6_2_shot40.jpg,1280,720
text box,119,327,854,28,video7_6_2_shot40.jpg,1280,720
figure,117,434,730,43,video7_6_2_shot40.jpg,1280,720
text box,116,374,892,55,video7_6_2_shot40.jpg,1280,720
text box,116,531,889,58,video7_6_2_shot40.jpg,1280,720
header,151,10,287,52,video7_6_2_shot5.jpg,1280,720
header,675,47,218,16,video7_6_2_shot5.jpg,1280,720
title,122,111,217,35,video7_6_2_shot5.jpg,1280,720
text box,120,201,783,62,video7_6_2_shot5.jpg,1280,720
footer,119,678,65,19,video7_6_2_shot5.jpg,1280,720
text box,121,287,798,66,video7_6_2_shot5.jpg,1280,720
text box,121,372,835,62,video7_6_2_shot5.jpg,1280,720
text box,121,457,697,24,video7_6_2_shot5.jpg,1280,720
text box,120,507,741,23,video7_6_2_shot5.jpg,1280,720
instructor,1005,378,275,343,video7_6_2_shot5.jpg,1280,720
header,151,10,287,52,video7_6_2_shot6.jpg,1280,720
header,675,47,218,16,video7_6_2_shot6.jpg,1280,720
title,122,111,640,35,video7_6_2_shot6.jpg,1280,720
footer,119,678,65,19,video7_6_2_shot6.jpg,1280,720
text box,68,456,187,192,video7_6_2_shot6.jpg,1280,720
chart,583,168,244,259,video7_6_2_shot6.jpg,1280,720
instructor,1004,381,276,339,video7_6_2_shot6.jpg,1280,720
chart,281,173,257,252,video7_6_2_shot6.jpg,1280,720
chart,275,464,244,245,video7_6_2_shot6.jpg,1280,720
chart,630,465,244,245,video7_6_2_shot6.jpg,1280,720
header,151,10,287,51,video7_6_2_shot8.jpg,1280,720
header,675,46,218,16,video7_6_2_shot8.jpg,1280,720
title,122,111,533,41,video7_6_2_shot8.jpg,1280,720
footer,119,678,65,19,video7_6_2_shot8.jpg,1280,720
text box,80,607,500,57,video7_6_2_shot8.jpg,1280,720
text box,118,181,799,64,video7_6_2_shot8.jpg,1280,720
handwriting,747,594,265,86,video7_6_2_shot8.jpg,1280,720
instructor,996,383,284,337,video7_6_2_shot8.jpg,1280,720
text box,116,265,557,303,video7_6_2_shot8.jpg,1280,720
text box,736,245,249,341,video7_6_2_shot8.jpg,1280,720
header,675,47,218,16,video7_6_2_shot9.jpg,1280,720
title,122,111,751,42,video7_6_2_shot9.jpg,1280,720
footer,119,678,65,19,video7_6_2_shot9.jpg,1280,720
text box,68,456,187,193,video7_6_2_shot9.jpg,1280,720
header,151,10,287,51,video7_6_2_shot9.jpg,1280,720
instructor,1039,381,241,339,video7_6_2_shot9.jpg,1280,720
chart,274,592,399,103,video7_6_2_shot9.jpg,1280,720
chart,260,302,457,106,video7_6_2_shot9.jpg,1280,720
chart,261,179,457,112,video7_6_2_shot9.jpg,1280,720
chart,272,461,402,103,video7_6_2_shot9.jpg,1280,720
text box,733,644,133,66,video7_6_2_shot9.jpg,1280,720
text box,733,244,192,66,video7_6_2_shot9.jpg,1280,720
text box,732,359,177,66,video7_6_2_shot9.jpg,1280,720
text box,731,513,169,66,video7_6_2_shot9.jpg,1280,720
header,252,8,285,59,video7_6_3_shot0.jpg,1280,720
title,223,113,700,38,video7_6_3_shot0.jpg,1280,720
header,774,49,214,16,video7_6_3_shot0.jpg,1280,720
footer,221,674,98,17,video7_6_3_shot0.jpg,1280,720
instructor,1067,16,188,141,video7_6_3_shot0.jpg,1280,720
diagram,283,187,686,430,video7_6_3_shot0.jpg,1280,720
header,252,8,285,59,video7_6_3_shot1.jpg,1280,720
title,233,125,388,47,video7_6_3_shot1.jpg,1280,720
header,774,49,214,16,video7_6_3_shot1.jpg,1280,720
footer,221,674,98,17,video7_6_3_shot1.jpg,1280,720
instructor,1065,14,189,143,video7_6_3_shot1.jpg,1280,720
chart,322,261,518,348,video7_6_3_shot1.jpg,1280,720
figure,640,262,302,78,video7_6_3_shot1.jpg,1280,720
header,254,12,282,53,video7_6_3_shot11.jpg,1280,720
header,771,49,217,16,video7_6_3_shot11.jpg,1280,720
footer,221,674,98,17,video7_6_3_shot11.jpg,1280,720
instructor,1065,14,191,145,video7_6_3_shot11.jpg,1280,720
figure,196,229,324,434,video7_6_3_shot11.jpg,1280,720
table,604,127,153,494,video7_6_3_shot11.jpg,1280,720
header,254,12,282,53,video7_6_3_shot12.jpg,1280,720
header,771,49,217,16,video7_6_3_shot12.jpg,1280,720
footer,221,674,98,17,video7_6_3_shot12.jpg,1280,720
instructor,1065,14,191,145,video7_6_3_shot12.jpg,1280,720
figure,668,421,291,116,video7_6_3_shot12.jpg,1280,720
title,220,109,349,43,video7_6_3_shot12.jpg,1280,720
figure,287,421,291,116,video7_6_3_shot12.jpg,1280,720
figure,671,239,291,116,video7_6_3_shot12.jpg,1280,720
figure,288,239,291,116,video7_6_3_shot12.jpg,1280,720
header,254,12,282,53,video7_6_3_shot13.jpg,1280,720
header,771,49,217,16,video7_6_3_shot13.jpg,1280,720
footer,221,674,98,17,video7_6_3_shot13.jpg,1280,720
instructor,1065,14,191,145,video7_6_3_shot13.jpg,1280,720
title,234,123,509,42,video7_6_3_shot13.jpg,1280,720
text box,226,229,768,114,video7_6_3_shot13.jpg,1280,720
text box,224,390,769,31,video7_6_3_shot13.jpg,1280,720
text box,223,475,762,111,video7_6_3_shot13.jpg,1280,720
header,254,12,282,53,video7_6_3_shot14.jpg,1280,720
header,771,49,217,16,video7_6_3_shot14.jpg,1280,720
footer,221,674,98,17,video7_6_3_shot14.jpg,1280,720
instructor,1065,14,191,145,video7_6_3_shot14.jpg,1280,720
picture,231,102,820,554,video7_6_3_shot14.jpg,1280,720
header,254,8,283,59,video7_6_3_shot3.jpg,1280,720
title,236,125,310,45,video7_6_3_shot3.jpg,1280,720
header,774,49,214,16,video7_6_3_shot3.jpg,1280,720
footer,221,674,98,17,video7_6_3_shot3.jpg,1280,720
instructor,1065,14,191,145,video7_6_3_shot3.jpg,1280,720
text box,223,229,503,36,video7_6_3_shot3.jpg,1280,720
text box,222,314,767,110,video7_6_3_shot3.jpg,1280,720
text box,223,474,756,113,video7_6_3_shot3.jpg,1280,720
header,254,14,282,51,video7_6_3_shot8.jpg,1280,720
title,214,83,353,42,video7_6_3_shot8.jpg,1280,720
header,774,49,214,16,video7_6_3_shot8.jpg,1280,720
footer,221,674,98,17,video7_6_3_shot8.jpg,1280,720
